,META,,GOOGL,,AMZN,,PYPL,,TXRH,,AMD,,ASML,,TSLA,,VTI,,ADBE,,CRM,,NKE,,DUOL,,NICE,,NVO,,CELH,,COUR,,DBX,,SMLR,,OLPX,,TTCFQ,,CRSR,,CRCT,,RVLV,,TIXT,,SWKS,,BABA,,WIX,
,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
,1/2/2020 16:00:00,209.78,1/2/2020 16:00:00,68.43,1/2/2020 16:00:00,94.9,1/2/2020 16:00:00,110.75,1/2/2020 16:00:00,56.24,1/2/2020 16:00:00,49.1,1/2/2020 16:00:00,302.83,1/2/2020 16:00:00,28.68,1/2/2020 16:00:00,164.98,1/2/2020 16:00:00,334.43,1/2/2020 16:00:00,166.99,1/2/2020 16:00:00,102.2,7/28/2021 16:00:00,139.01,1/2/2020 16:00:00,158.62,1/2/2020 16:00:00,29.18,1/2/2020 16:00:00,1.58,3/31/2021 16:00:00,45,1/2/2020 16:00:00,18.09,1/2/2020 16:00:00,48,9/30/2021 16:00:00,24.5,1/6/2020 16:00:00,10.25,9/23/2020 16:00:00,14.25,3/25/2021 16:00:00,17.8,1/2/2020 16:00:00,18.39,2/3/2021 16:00:00,30.4,1/2/2020 16:00:00,121.67,1/2/2020 16:00:00,219.77,1/2/2020 16:00:00,127.55
,1/3/2020 16:00:00,208.67,1/3/2020 16:00:00,68.08,1/3/2020 16:00:00,93.75,1/3/2020 16:00:00,108.76,1/3/2020 16:00:00,56.07,1/3/2020 16:00:00,48.6,1/3/2020 16:00:00,297.95,1/3/2020 16:00:00,29.53,1/3/2020 16:00:00,163.93,1/3/2020 16:00:00,331.81,1/3/2020 16:00:00,166.17,1/3/2020 16:00:00,101.92,7/29/2021 16:00:00,134.44,1/3/2020 16:00:00,158,1/3/2020 16:00:00,28.56,1/3/2020 16:00:00,1.55,4/1/2021 16:00:00,45.78,1/3/2020 16:00:00,18,1/3/2020 16:00:00,48,10/1/2021 16:00:00,22.9,1/7/2020 16:00:00,10.24,9/24/2020 16:00:00,15.58,3/26/2021 16:00:00,18,1/3/2020 16:00:00,18.89,2/4/2021 16:00:00,30.65,1/3/2020 16:00:00,118.65,1/3/2020 16:00:00,217,1/3/2020 16:00:00,128.92
,1/6/2020 16:00:00,212.6,1/6/2020 16:00:00,69.89,1/6/2020 16:00:00,95.14,1/6/2020 16:00:00,110.17,1/6/2020 16:00:00,56.07,1/6/2020 16:00:00,48.39,1/6/2020 16:00:00,295.58,1/6/2020 16:00:00,30.1,1/6/2020 16:00:00,164.49,1/6/2020 16:00:00,333.71,1/6/2020 16:00:00,173.45,1/6/2020 16:00:00,101.83,7/30/2021 16:00:00,140.25,1/6/2020 16:00:00,159.69,1/6/2020 16:00:00,28.51,1/6/2020 16:00:00,1.51,4/5/2021 16:00:00,49.61,1/6/2020 16:00:00,18.53,1/6/2020 16:00:00,47.5,10/4/2021 16:00:00,23.8,1/14/2020 16:00:00,10.24,9/25/2020 16:00:00,17.25,3/29/2021 16:00:00,18.11,1/6/2020 16:00:00,19.09,2/5/2021 16:00:00,31.58,1/6/2020 16:00:00,116.56,1/6/2020 16:00:00,216.64,1/6/2020 16:00:00,131.63
,1/7/2020 16:00:00,213.06,1/7/2020 16:00:00,69.76,1/7/2020 16:00:00,95.34,1/7/2020 16:00:00,109.67,1/7/2020 16:00:00,55.98,1/7/2020 16:00:00,48.25,1/7/2020 16:00:00,298.79,1/7/2020 16:00:00,31.27,1/7/2020 16:00:00,164.1,1/7/2020 16:00:00,333.39,1/7/2020 16:00:00,176,1/7/2020 16:00:00,101.78,8/2/2021 16:00:00,143.8,1/7/2020 16:00:00,159.65,1/7/2020 16:00:00,28.48,1/7/2020 16:00:00,1.42,4/6/2021 16:00:00,56.23,1/7/2020 16:00:00,18.53,1/7/2020 16:00:00,49,10/5/2021 16:00:00,26.29,1/15/2020 16:00:00,10.24,9/28/2020 16:00:00,18.47,3/30/2021 16:00:00,18.76,1/7/2020 16:00:00,19.41,2/8/2021 16:00:00,31.62,1/7/2020 16:00:00,117.67,1/7/2020 16:00:00,217.63,1/7/2020 16:00:00,130.01
,1/8/2020 16:00:00,215.22,1/8/2020 16:00:00,70.25,1/8/2020 16:00:00,94.6,1/8/2020 16:00:00,111.82,1/8/2020 16:00:00,55.8,1/8/2020 16:00:00,47.83,1/8/2020 16:00:00,301.89,1/8/2020 16:00:00,32.81,1/8/2020 16:00:00,164.91,1/8/2020 16:00:00,337.87,1/8/2020 16:00:00,177.33,1/8/2020 16:00:00,101.55,8/3/2021 16:00:00,139.86,1/8/2020 16:00:00,163.59,1/8/2020 16:00:00,28.43,1/8/2020 16:00:00,1.46,4/7/2021 16:00:00,58,1/8/2020 16:00:00,18.46,1/8/2020 16:00:00,49.7,10/6/2021 16:00:00,25.03,1/16/2020 16:00:00,10.3,9/29/2020 16:00:00,18.78,3/31/2021 16:00:00,19.79,1/8/2020 16:00:00,19.24,2/9/2021 16:00:00,30.76,1/8/2020 16:00:00,119.54,1/8/2020 16:00:00,218,1/8/2020 16:00:00,133.78
,1/9/2020 16:00:00,218.3,1/9/2020 16:00:00,70.99,1/9/2020 16:00:00,95.05,1/9/2020 16:00:00,112.57,1/9/2020 16:00:00,55.85,1/9/2020 16:00:00,48.97,1/9/2020 16:00:00,301.38,1/9/2020 16:00:00,32.09,1/9/2020 16:00:00,165.94,1/9/2020 16:00:00,340.45,1/9/2020 16:00:00,179.6,1/9/2020 16:00:00,101.48,8/4/2021 16:00:00,141.5,1/9/2020 16:00:00,162.96,1/9/2020 16:00:00,28.72,1/9/2020 16:00:00,1.56,4/8/2021 16:00:00,56,1/9/2020 16:00:00,18.37,1/9/2020 16:00:00,49.7,10/7/2021 16:00:00,25.2,1/17/2020 16:00:00,10.3,9/30/2020 16:00:00,20.1,4/1/2021 16:00:00,20,1/9/2020 16:00:00,20,2/10/2021 16:00:00,30.56,1/9/2020 16:00:00,119.65,1/9/2020 16:00:00,221.78,1/9/2020 16:00:00,140.08
,1/10/2020 16:00:00,218.06,1/10/2020 16:00:00,71.45,1/10/2020 16:00:00,94.16,1/10/2020 16:00:00,112.93,1/10/2020 16:00:00,55.97,1/10/2020 16:00:00,48.17,1/10/2020 16:00:00,296.18,1/10/2020 16:00:00,31.88,1/10/2020 16:00:00,165.46,1/10/2020 16:00:00,339.81,1/10/2020 16:00:00,180.2,1/10/2020 16:00:00,100.9,8/5/2021 16:00:00,146,1/10/2020 16:00:00,162.16,1/10/2020 16:00:00,29.34,1/10/2020 16:00:00,1.54,4/9/2021 16:00:00,53.65,1/10/2020 16:00:00,17.82,1/10/2020 16:00:00,52,10/8/2021 16:00:00,25.51,1/21/2020 16:00:00,10.31,10/1/2020 16:00:00,20.95,4/5/2021 16:00:00,19.7,1/10/2020 16:00:00,19.09,2/11/2021 16:00:00,30.58,1/10/2020 16:00:00,120.08,1/10/2020 16:00:00,223.83,1/10/2020 16:00:00,140.26
,1/13/2020 16:00:00,221.91,1/13/2020 16:00:00,72,1/13/2020 16:00:00,94.57,1/13/2020 16:00:00,115.28,1/13/2020 16:00:00,57.22,1/13/2020 16:00:00,48.75,1/13/2020 16:00:00,301.45,1/13/2020 16:00:00,34.99,1/13/2020 16:00:00,166.59,1/13/2020 16:00:00,345.63,1/13/2020 16:00:00,183.85,1/13/2020 16:00:00,102.16,8/6/2021 16:00:00,134.38,1/13/2020 16:00:00,164.3,1/13/2020 16:00:00,29.49,1/13/2020 16:00:00,1.6,4/12/2021 16:00:00,51.38,1/13/2020 16:00:00,17.86,1/13/2020 16:00:00,50,10/11/2021 16:00:00,25.09,1/22/2020 16:00:00,10.3,10/2/2020 16:00:00,20.9,4/6/2021 16:00:00,19.99,1/13/2020 16:00:00,19.32,2/12/2021 16:00:00,30.89,1/13/2020 16:00:00,124.51,1/13/2020 16:00:00,230.48,1/13/2020 16:00:00,142.43
,1/14/2020 16:00:00,219.06,1/14/2020 16:00:00,71.53,1/14/2020 16:00:00,93.47,1/14/2020 16:00:00,114.64,1/14/2020 16:00:00,56.7,1/14/2020 16:00:00,48.21,1/14/2020 16:00:00,302.55,1/14/2020 16:00:00,35.86,1/14/2020 16:00:00,166.5,1/14/2020 16:00:00,344.63,1/14/2020 16:00:00,182.12,1/14/2020 16:00:00,102.92,8/9/2021 16:00:00,138.25,1/14/2020 16:00:00,162.98,1/14/2020 16:00:00,29.79,1/14/2020 16:00:00,1.6,4/13/2021 16:00:00,51.35,1/14/2020 16:00:00,18.01,1/14/2020 16:00:00,49.15,10/12/2021 16:00:00,25.32,1/23/2020 16:00:00,10.32,10/5/2020 16:00:00,20.03,4/7/2021 16:00:00,20.01,1/14/2020 16:00:00,20.64,2/16/2021 16:00:00,31.28,1/14/2020 16:00:00,123.34,1/14/2020 16:00:00,226.49,1/14/2020 16:00:00,142.74
