

Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
10/17/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Margin)",AMZN,"AMAZON.COM INC",Margin,1,212.92,,,,-212.92,2406.83,10/20/2025
10/15/2025,"YOU SOLD NOVO NORDISK A/S ADR-EACH CNV INTO 1... (NVO) (Margin)",NVO,"NOVO NORDISK A/S ADR-EACH CNV INTO 1 CL",Margin,-6,56.53,,,,339.15,2619.75,10/16/2025
10/15/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Margin)",AMZN,"AMAZON.COM INC",Margin,1,213.14,,,,-213.14,2280.60,10/16/2025
10/15/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Margin)",AMZN,"AMAZON.COM INC",Margin,1,213.53,,,,-213.53,2493.74,10/16/2025
10/14/2025,"YOU BOUGHT NICE LTD ADR-EACH CNV INTO 1 ORD ILS1 (NICE) (Margin)",NICE,"NICE LTD ADR-EACH CNV INTO 1 ORD ILS1",Margin,3,131.11,,,,-393.32,1907.27,10/15/2025
10/13/2025,"YOU SOLD TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,-0.25,429.13,,,,107.28,2300.59,10/14/2025
10/13/2025,"YOU SOLD TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,-0.5,421.53,,,,210.76,2193.31,10/14/2025
10/13/2025,"YOU SOLD TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,-1,429.19,,,,429.19,1982.55,10/14/2025
10/13/2025,"YOU BOUGHT DUOLINGO INC CL A COM (DUOL) (Margin)",DUOL,"DUOLINGO INC CL A COM",Margin,0.5,327.65,,,,-163.83,1553.36,10/14/2025
10/10/2025,"YOU BOUGHT NIKE INC CLASS B COM NPV (NKE) (Margin)",NKE,"NIKE INC CLASS B COM NPV",Margin,2,66.21,,,,-132.42,1717.19,10/14/2025
10/10/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Margin)",AMZN,"AMAZON.COM INC",Margin,2,216.59,,,,-433.18,1849.61,10/14/2025
10/06/2025,"YOU SOLD TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,-1,454.01,,,,454.01,2281.58,10/07/2025
10/06/2025,"YOU BOUGHT SALESFORCE INC COM (CRM) (Margin)",CRM,"SALESFORCE INC COM",Margin,2,245.94,,,,-491.88,1827.57,10/07/2025
10/02/2025,"YOU SOLD TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,-1,445,,,,445,2319.45,10/03/2025
10/02/2025,"YOU SOLD TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,-1,451.74,,,,451.74,1874.45,10/03/2025
10/02/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Margin)",AMZN,"AMAZON.COM INC",Margin,0.45,220.55,,,,-99.25,1422.71,10/03/2025
10/02/2025,"YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Margin)",GOOGL,"ALPHABET INC CAP STK CL A",Margin,0.4,243.48,,,,-97.39,1521.96,10/03/2025
09/30/2025,"YOU BOUGHT SALESFORCE INC COM (CRM) (Margin)",CRM,"SALESFORCE INC COM",Margin,0.5,237.36,,,,-118.68,1097.25,10/01/2025
09/24/2025,"YOU SOLD TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,-1,442.14,,,,442.14,1202.28,09/25/2025
09/24/2025,"YOU SOLD TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,-1,442.26,,,,442.26,760.14,09/25/2025
09/24/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Margin)",AMZN,"AMAZON.COM INC",Margin,2,220.53,,,,-441.06,317.88,09/25/2025
