

Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
10/15/2025,"YOU SOLD TESLA INC COM (TSLA) (Cash)",TSLA,"TESLA INC COM",Cash,-5,433.19,,,,2165.95,4113.67,10/16/2025
10/15/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Cash)",AMZN,"AMAZON.COM INC",Cash,8,212.69,,,,-1701.52,1947.72,10/16/2025
10/06/2025,"YOU SOLD TESLA INC COM (TSLA) (Cash)",TSLA,"TESLA INC COM",Cash,-2,445.52,,,,891.04,2146.40,10/07/2025
10/06/2025,"YOU BOUGHT SALESFORCE INC COM (CRM) (Cash)",CRM,"SALESFORCE INC COM",Cash,5,237.94,,,,-1189.7,1255.36,10/07/2025
10/06/2025,"YOU BOUGHT NIKE INC CLASS B COM NPV (NKE) (Cash)",NKE,"NIKE INC CLASS B COM NPV",Cash,5,71.52,,,,-357.58,2445.06,10/07/2025
10/06/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,0.269,185.95,,,,-50,2802.64,10/07/2025
10/06/2025,"YOU BOUGHT ADOBE INC COM (ADBE) (Cash)",ADBE,"ADOBE INC COM",Cash,2,345.7,,,,-691.4,2852.64,10/07/2025
10/02/2025,"YOU SOLD TESLA INC COM (TSLA) (Cash)",TSLA,"TESLA INC COM",Cash,-5,445.34,,,,2226.68,3544.04,10/03/2025
10/02/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Cash)",AMZN,"AMAZON.COM INC",Cash,4,220.6,,,,-882.4,1317.36,10/03/2025
09/30/2025,"YOU BOUGHT SALESFORCE INC COM (CRM) (Cash)",CRM,"SALESFORCE INC COM",Cash,4,237.58,,,,-950.32,1155.28,10/01/2025
09/30/2025,"YOU BOUGHT NOVO NORDISK A/S ADR-EACH CNV INTO 1... (NVO) (Cash)",NVO,"NOVO NORDISK A/S ADR-EACH CNV INTO 1 CL",Cash,5,54.77,,,,-273.85,2105.60,10/01/2025
09/24/2025,"YOU SOLD TESLA INC COM (TSLA) (Cash)",TSLA,"TESLA INC COM",Cash,-5,443.54,,,,2217.71,1348.46,09/25/2025
09/24/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Cash)",AMZN,"AMAZON.COM INC",Cash,8,219.69,,,,-1757.52,-869.25,09/25/2025
09/23/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Cash)",AMZN,"AMAZON.COM INC",Cash,6,220.98,,,,-1325.88,888.27,09/24/2025
09/22/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,1.083,184.69,,,,-200,2214.15,09/23/2025
09/19/2025,"YOU BOUGHT NOVO NORDISK A/S ADR-EACH CNV INTO 1... (NVO) (Cash)",NVO,"NOVO NORDISK A/S ADR-EACH CNV INTO 1 CL",Cash,16,61.23,,,,-979.75,2414.15,09/22/2025
09/19/2025,"YOU SOLD CRICUT INC COM CL A (CRCT) (Cash)",CRCT,"CRICUT INC COM CL A",Cash,-300,6.85,,,,2053.5,3393.90,09/22/2025
09/19/2025,"YOU BOUGHT ADOBE INC COM (ADBE) (Cash)",ADBE,"ADOBE INC COM",Cash,5,364.19,,,,-1820.95,1340.40,09/22/2025
09/19/2025,"YOU BOUGHT ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Cash)",ASML,"ASML HOLDING NV EUR0.09 NY REGISTRY SHS",Cash,0.5,936.95,,,,-468.48,3161.35,09/22/2025
09/16/2025,"YOU SOLD TESLA INC COM (TSLA) (Cash)",TSLA,"TESLA INC COM",Cash,-8,421.8,,,,3374.4,3501.83,09/17/2025
09/15/2025,"YOU BOUGHT SALESFORCE INC COM (CRM) (Cash)",CRM,"SALESFORCE INC COM",Cash,2,241.56,,,,-483.12,112.02,09/16/2025
09/15/2025,"YOU SOLD ALIBABA GROUP HOLDING LTD SPON ADS E... (BABA) (Cash)",BABA,"ALIBABA GROUP HOLDING LTD SPON ADS EACH",Cash,-2,157.94,,,,315.89,595.14,09/16/2025
09/15/2025,"YOU BOUGHT ADOBE INC COM (ADBE) (Cash)",ADBE,"ADOBE INC COM",Cash,3,347.03,,,,-1041.09,279.25,09/16/2025
09/15/2025,"YOU SOLD WIX.COM LTD COM ILS0.01 (WIX) (Cash)",WIX,"WIX.COM LTD COM ILS0.01",Cash,-3,175.26,,,,525.78,1320.34,09/16/2025
09/12/2025,"YOU SOLD TESLA INC COM (TSLA) (Cash)",TSLA,"TESLA INC COM",Cash,-3,395.43,,,,1186.29,794.56,09/15/2025
09/12/2025,"YOU BOUGHT SALESFORCE INC COM (CRM) (Cash)",CRM,"SALESFORCE INC COM",Cash,1,242.63,,,,-242.63,-391.73,09/15/2025
09/12/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Cash)",AMZN,"AMAZON.COM INC",Cash,2,228.01,,,,-456.03,-149.10,09/15/2025
09/12/2025,"YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,0.5,241.51,,,,-120.75,306.93,09/15/2025
09/12/2025,"YOU BOUGHT ADOBE INC COM (ADBE) (Cash)",ADBE,"ADOBE INC COM",Cash,1,349.44,,,,-349.44,427.68,09/15/2025
09/12/2025,"YOU BOUGHT ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Cash)",ASML,"ASML HOLDING NV EUR0.09 NY REGISTRY SHS",Cash,0.3,813.99,,,,-244.2,777.12,09/15/2025
09/04/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,0.279,179.3,,,,-50,1021.32,09/05/2025
09/04/2025,"YOU BOUGHT ADOBE INC COM (ADBE) (Cash)",ADBE,"ADOBE INC COM",Cash,0.879,341.27,,,,-299.98,1071.32,09/05/2025
09/02/2025,"YOU SOLD REVOLVE GROUP INC CL A (RVLV) (Cash)",RVLV,"REVOLVE GROUP INC CL A",Cash,-20,21.42,,,,428.39,193.17,09/03/2025
09/02/2025,"YOU SOLD CORSAIR GAMING INC COM (CRSR) (Cash)",CRSR,"CORSAIR GAMING INC COM",Cash,-220,8.67,,,,1907.64,-235.22,09/03/2025
09/02/2025,"YOU BOUGHT ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Cash)",ASML,"ASML HOLDING NV EUR0.09 NY REGISTRY SHS",Cash,3,725.1,,,,-2175.3,-2142.86,09/03/2025
09/02/2025,"YOU BOUGHT ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Cash)",ASML,"ASML HOLDING NV EUR0.09 NY REGISTRY SHS",Cash,0.6,725.06,,,,-435.04,32.44,09/03/2025
09/02/2025,"YOU SOLD WIX.COM LTD COM ILS0.01 (WIX) (Cash)",WIX,"WIX.COM LTD COM ILS0.01",Cash,-3,138.35,,,,415.05,467.48,09/03/2025
08/04/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,0.287,173.93,,,,-50,27.23,08/05/2025
08/01/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Cash)",AMZN,"AMAZON.COM INC",Cash,4,215.04,,,,-860.16,77.23,08/04/2025
07/31/2025,"YOU BOUGHT SALESFORCE INC COM (CRM) (Cash)",CRM,"SALESFORCE INC COM",Cash,4,265,,,,-1060,929.19,08/01/2025
07/31/2025,"YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Cash)",PYPL,"PAYPAL HLDGS INC COM",Cash,12,69.38,,,,-832.56,1989.19,08/01/2025
07/31/2025,"YOU BOUGHT NIKE INC CLASS B COM NPV (NKE) (Cash)",NKE,"NIKE INC CLASS B COM NPV",Cash,10,76.29,,,,-762.9,2821.75,08/01/2025
07/31/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Cash)",AMZN,"AMAZON.COM INC",Cash,2,234.55,,,,-469.1,3584.65,08/01/2025
07/31/2025,"YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,4,195.72,,,,-782.88,4053.75,08/01/2025
07/31/2025,"YOU BOUGHT ADOBE INC COM (ADBE) (Cash)",ADBE,"ADOBE INC COM",Cash,3,362.26,,,,-1086.78,4836.63,08/01/2025
07/21/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,1.154,173.29,,,,-200,3079.61,07/22/2025
07/10/2025,"YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,5,176.05,,,,-880.25,1375.98,07/11/2025
07/07/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,0.292,171.22,,,,-50,2256.23,07/08/2025
06/20/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,1.221,163.85,,,,-200,1472.74,06/23/2025
06/20/2025,"YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,6,169.86,,,,-1019.18,1672.74,06/23/2025
06/20/2025,"YOU BOUGHT ADVANCED MICRO DEVICES INC (AMD) (Cash)",AMD,"ADVANCED MICRO DEVICES INC",Cash,5,128.06,,,,-640.32,2691.92,06/23/2025
06/04/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,0.305,163.77,,,,-50,870.23,06/05/2025
06/02/2025,"YOU BOUGHT SALESFORCE INC COM (CRM) (Cash)",CRM,"SALESFORCE INC COM",Cash,2,261.8,,,,-523.6,920.23,06/03/2025
06/02/2025,"YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,10,168.65,,,,-1686.5,1443.83,06/03/2025
05/20/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,1.228,162.93,,,,-200,1225.40,05/21/2025
05/07/2025,"YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,8,153.06,,,,-1224.48,1425.40,05/08/2025
05/07/2025,"YOU BOUGHT ADVANCED MICRO DEVICES INC (AMD) (Cash)",AMD,"ADVANCED MICRO DEVICES INC",Cash,5,98.54,,,,-492.69,2649.88,05/08/2025
05/05/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,0.323,154.65,,,,-50,3142.57,05/06/2025
04/25/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Cash)",AMZN,"AMAZON.COM INC",Cash,2,188.06,,,,-376.12,1686.69,04/28/2025
04/25/2025,"YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,8,161.85,,,,-1294.83,2062.81,04/28/2025
04/25/2025,"YOU BOUGHT ADVANCED MICRO DEVICES INC (AMD) (Cash)",AMD,"ADVANCED MICRO DEVICES INC",Cash,2,96.06,,,,-192.12,3357.64,04/28/2025
04/21/2025,"YOU BOUGHT PERIODIC INVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash)",FSKAX,"FIDELITY TOTAL MARKET INDEX FUND",Cash,1.419,140.95,,,,-200,2049.76,04/22/2025
